SeriesID,Description
A2336275R,General government - National ;  Final consumption expenditure: Chain volume measures ;
A2336276T,General government - State and local ;  Final consumption expenditure: Chain volume measures ;
A2336277V,General government ;  Final consumption expenditure: Chain volume measures ;
A2336278W,Households ;  Final consumption expenditure - Food: Chain volume measures ;
A2336279X,Households ;  Final consumption expenditure - Alcoholic beverages and tobacco: Chain volume measures ;
A2336280J,Households ;  Final consumption expenditure - Clothing and footwear: Chain volume measures ;
A2336281K,Households ;  Final consumption expenditure - Rent and other dwelling services: Chain volume measures ;
A2336282L,"Households ;  Final consumption expenditure - Electricity, gas and other fuel: Chain volume measures ;"
A2336283R,Households ;  Final consumption expenditure - Furnishings and household equipment: Chain volume measures ;
A2336284T,Households ;  Final consumption expenditure - Health: Chain volume measures ;
A2336285V,Households ;  Final consumption expenditure - Transport: Chain volume measures ;
A2336286W,Households ;  Final consumption expenditure - Communications: Chain volume measures ;
A2336287X,Households ;  Final consumption expenditure - Recreation and culture: Chain volume measures ;
A2336288A,Households ;  Final consumption expenditure - Education services: Chain volume measures ;
A2336289C,"Households ;  Final consumption expenditure - Hotels, cafes and restaurants: Chain volume measures ;"
A2336290L,Households ;  Final consumption expenditure - Miscellaneous goods and services: Chain volume measures ;
A2336291R,Households ;  Final consumption expenditure - Net expenditure interstate: Chain volume measures ;
A2336292T,Households ;  Final consumption expenditure: Chain volume measures ;
A2336293V,All sectors ;  Final consumption expenditure: Chain volume measures ;
A2336200W,Private ;  Gross fixed capital formation - Dwellings - Total: Chain volume measures ;
A2336201X,Private ;  Gross fixed capital formation - Ownership transfer costs: Chain volume measures ;
A2336193K,Private ;  Gross fixed capital formation - Non-dwelling construction - New building: Chain volume measures ;
A2336194L,Private ;  Gross fixed capital formation - Non-dwelling construction - New engineering construction: Chain volume measures ;
A2336195R,Private ;  Gross fixed capital formation - Non-dwelling construction - Net purchase of second hand assets: Chain volume measures ;
A2336196T,Private ;  Gross fixed capital formation - Non-dwelling construction - Total: Chain volume measures ;
A2336294W,Private ;  Gross fixed capital formation - Machinery and equipment - New: Chain volume measures ;
A2336295X,Private ;  Gross fixed capital formation - Machinery and equipment - Net purchase of second hand assets: Chain volume measures ;
A2336296A,Private ;  Gross fixed capital formation - Machinery and equipment - Total: Chain volume measures ;
A2713898X,Private ;  Gross fixed capital formation - Cultivated biological resources: Chain volume measures ;
A2713932T,Private ;  Gross fixed capital formation - Intellectual property products: Chain volume measures ;
A2336199X,Private ;  Gross fixed capital formation - Total private business investment: Chain volume measures ;
A2336202A,Private ;  Gross fixed capital formation: Chain volume measures ;
A2336203C,Public corporations - Commonwealth ;  Gross fixed capital formation: Chain volume measures ;
A2336204F,Public corporations - State and local ;  Gross fixed capital formation: Chain volume measures ;
A2336205J,Public corporations ;  Gross fixed capital formation: Chain volume measures ;
A2336206K,General government - National ;  Gross fixed capital formation: Chain volume measures ;
A2336207L,General government - State and local ;  Gross fixed capital formation: Chain volume measures ;
A2336208R,General government ;  Gross fixed capital formation: Chain volume measures ;
A2336209T,Public ;  Gross fixed capital formation: Chain volume measures ;
A2336210A,All sectors ;  Gross fixed capital formation: Chain volume measures ;
A2336211C,All sectors ;  STATE FINAL DEMAND: Chain volume measures ;
A2336212F,All sectors ;  International trade - exports of goods: Chain volume measures ;
A2336213J,All sectors ;  International trade - imports of goods: Chain volume measures ;
A2336214K,All sectors ;  International trade - exports of services: Chain volume measures ;
A2336215L,All sectors ;  International trade - imports of services: Chain volume measures ;
A2336216R,All sectors ;  Balancing item: Chain volume measures ;
A2478893C,All sectors ;  Statistical discrepancy (E): Chain volume measures ;
A2336346L,All sectors ;  GROSS STATE PRODUCT: Chain volume measures ;
A2336217T,General government - National ;  Final consumption expenditure: Current prices ;
A2336218V,General government - State and local ;  Final consumption expenditure: Current prices ;
A2336219W,General government ;  Final consumption expenditure: Current prices ;
A2336220F,Households ;  Final consumption expenditure - Food: Current prices ;
A2336221J,Households ;  Final consumption expenditure - Alcoholic beverages and tobacco: Current prices ;
A2336222K,Households ;  Final consumption expenditure - Clothing and footwear: Current prices ;
A2336223L,Households ;  Final consumption expenditure - Rent and other dwelling services: Current prices ;
A2336224R,"Households ;  Final consumption expenditure - Electricity, gas and other fuel: Current prices ;"
A2336225T,Households ;  Final consumption expenditure - Furnishings and household equipment: Current prices ;
A2336226V,Households ;  Final consumption expenditure - Health: Current prices ;
A2336227W,Households ;  Final consumption expenditure - Transport: Current prices ;
A2336228X,Households ;  Final consumption expenditure - Communications: Current prices ;
A2336229A,Households ;  Final consumption expenditure - Recreation and culture: Current prices ;
A2336230K,Households ;  Final consumption expenditure - Education services: Current prices ;
A2336231L,"Households ;  Final consumption expenditure - Hotels, cafes and restaurants: Current prices ;"
A2336232R,Households ;  Final consumption expenditure - Miscellaneous goods and services: Current prices ;
