Series ID,A83776171F,A83775739T,A83778763W,A83778331T,A83778619C,A83778187K,A83779051T,A83776227F,A83775795K,A83778819W,A83778387C,A83778675W,A83778243T,A83779107T,A83776179X,A83775747T,A83778771W,A83778339K,A83778627C,A83778195K,A83779059K,A83776235F,A83775803X,A83778827W,A83778395C,A83778683W,A83778251T,A83779115T,A83776211L,A83775779K,A83778803C,A83778371K,A83778659W,A83778227T,A83779091K,A83776187X,A83775755T,A83778779R,A83778347K,A83778635C,A83778203X,A83779067K,A83776219F,A83778811C,A83778667W,A83778235T,A83779099C,A83776203L,A83775771T,A83778795R,A83778363K,A83778651C,A83778219T,A83779083K
1/09/1974,1411503,,1916161,1812020,4102454,3933768,4000676,653226,,978111,946069,2565358,,,410221,,657255,,1769438,,,213861,,388635,,806126,,,235852,,403114,,1007784,,,68807,,140847,,311095,,,25103,87764,209804,,,50612,,149385,,371774,,
1/12/1974,1153580,,1792381,1816895,4010152,3979216,3866140,664362,,1015315,991690,2491367,,,394261,,704879,,1657760,,,142207,,305712,,712563,,,230946,,418009,,1001049,,,47912,,112720,,254825,,,22120,72056,166164,,,61596,,173557,,392868,,
1/03/1975,960929,,1499274,1655094,3406837,3691926,3729255,494135,,855211,930384,2160130,,,319852,,665228,,1475498,,,155986,,301658,,678071,,,194719,,385767,,882962,,,71762,,151421,,300684,,,3977,25182,56507,,,49966,,153958,,340853,,
1/06/1975,1014373,,1679566,1649046,3505847,3493099,3609149,522294,,938046,905946,2445362,,,328048,,617389,,1548983,,,151761,,297051,,711324,,,172455,,363896,,927413,,,58043,,148883,,310599,,,32310,88263,145184,,,39843,,200560,,440568,,
1/09/1975,1035497,,1810305,1723364,3811438,3661872,3489702,410931,,765859,742152,2331499,,,356733,,697983,,1738980,,,164989,,345331,,811909,,,196606,,401040,,1015866,,,54455,,170666,,353483,,,41506,158075,325895,,,36182,,197076,,442965,,
1/12/1975,788346,,1445292,1462136,3359182,3328802,3409086,457226,,883194,858934,2497692,,,340773,,595839,,1673472,,,148637,,291338,,734457,,,148870,,321284,,921127,,,57199,,159669,,338114,,,32062,95992,327853,,,36828,,195987,,453752,,
1/03/1976,709554,,1265632,1401000,2983035,3236634,3306309,489204,,838994,927603,2438461,,,316832,,593469,,1631412,,,105828,,235503,,666712,,,143020,,273205,,947169,,,47490,,132599,,334644,,,36287,119678,458211,,,44151,,187929,,411804,,
1/06/1976,821300,,1438122,1404856,3388793,3371128,3211259,522454,,883989,841630,2711999,,,356733,,684192,,1819475,,,136327,,284520,,820377,,,154719,,276976,,1039439,,,52555,,119699,,327455,,,32062,144860,476394,,,72795,,186623,,423549,,
1/09/1976,707442,,1193304,1141669,3127850,3010082,3136764,514022,,914992,890162,2854807,,,406986,,714576,,1954842,,,143860,,288021,,880274,,,148115,,288100,,1091972,,,74506,,152478,,360920,,,49211,163061,547727,,,70426,,193591,,435534,,
1/12/1976,734269,,1240117,1251910,3157460,3126041,3084492,484113,,788117,764308,2714300,,,351772,,683761,,1896586,,,149005,,282677,,854250,,,157926,,339196,,1135301,,,66908,,113989,,341337,,,32559,180764,446742,,,101439,,228651,,454710,,
