A83776171F,Value of work done during quarter ;  Chain Volume Measures ;  New South Wales ;  Private Sector ;  Total Non-residential ;
A83775739T,Value of work done during quarter ;  Chain Volume Measures ;  New South Wales ;  Private Sector ;  Total Non-residential ;
A83778763W,Value of work done during quarter ;  Chain Volume Measures ;  New South Wales ;  Total Sectors ;  Total Non-residential ;
A83778331T,Value of work done during quarter ;  Chain Volume Measures ;  New South Wales ;  Total Sectors ;  Total Non-residential ;
A83778619C,Value of work done during quarter ;  Chain Volume Measures ;  New South Wales ;  Total Sectors ;  Total (Type of Building) ;
A83778187K,Value of work done during quarter ;  Chain Volume Measures ;  New South Wales ;  Total Sectors ;  Total (Type of Building) ;
A83779051T,Value of work done during quarter ;  Chain Volume Measures ;  New South Wales ;  Total Sectors ;  Total (Type of Building) ;
A83776227F,Value of work done during quarter ;  Chain Volume Measures ;  Victoria ;  Private Sector ;  Total Non-residential ;
A83775795K,Value of work done during quarter ;  Chain Volume Measures ;  Victoria ;  Private Sector ;  Total Non-residential ;
A83778819W,Value of work done during quarter ;  Chain Volume Measures ;  Victoria ;  Total Sectors ;  Total Non-residential ;
A83778387C,Value of work done during quarter ;  Chain Volume Measures ;  Victoria ;  Total Sectors ;  Total Non-residential ;
A83778675W,Value of work done during quarter ;  Chain Volume Measures ;  Victoria ;  Total Sectors ;  Total (Type of Building) ;
A83778243T,Value of work done during quarter ;  Chain Volume Measures ;  Victoria ;  Total Sectors ;  Total (Type of Building) ;
A83779107T,Value of work done during quarter ;  Chain Volume Measures ;  Victoria ;  Total Sectors ;  Total (Type of Building) ;
A83776179X,Value of work done during quarter ;  Chain Volume Measures ;  Queensland ;  Private Sector ;  Total Non-residential ;
A83775747T,Value of work done during quarter ;  Chain Volume Measures ;  Queensland ;  Private Sector ;  Total Non-residential ;
A83778771W,Value of work done during quarter ;  Chain Volume Measures ;  Queensland ;  Total Sectors ;  Total Non-residential ;
A83778339K,Value of work done during quarter ;  Chain Volume Measures ;  Queensland ;  Total Sectors ;  Total Non-residential ;
A83778627C,Value of work done during quarter ;  Chain Volume Measures ;  Queensland ;  Total Sectors ;  Total (Type of Building) ;
A83778195K,Value of work done during quarter ;  Chain Volume Measures ;  Queensland ;  Total Sectors ;  Total (Type of Building) ;
A83779059K,Value of work done during quarter ;  Chain Volume Measures ;  Queensland ;  Total Sectors ;  Total (Type of Building) ;
A83776235F,Value of work done during quarter ;  Chain Volume Measures ;  South Australia ;  Private Sector ;  Total Non-residential ;
A83775803X,Value of work done during quarter ;  Chain Volume Measures ;  South Australia ;  Private Sector ;  Total Non-residential ;
A83778827W,Value of work done during quarter ;  Chain Volume Measures ;  South Australia ;  Total Sectors ;  Total Non-residential ;
A83778395C,Value of work done during quarter ;  Chain Volume Measures ;  South Australia ;  Total Sectors ;  Total Non-residential ;
A83778683W,Value of work done during quarter ;  Chain Volume Measures ;  South Australia ;  Total Sectors ;  Total (Type of Building) ;
A83778251T,Value of work done during quarter ;  Chain Volume Measures ;  South Australia ;  Total Sectors ;  Total (Type of Building) ;
A83779115T,Value of work done during quarter ;  Chain Volume Measures ;  South Australia ;  Total Sectors ;  Total (Type of Building) ;
A83776211L,Value of work done during quarter ;  Chain Volume Measures ;  Western Australia ;  Private Sector ;  Total Non-residential ;
A83775779K,Value of work done during quarter ;  Chain Volume Measures ;  Western Australia ;  Private Sector ;  Total Non-residential ;
A83778803C,Value of work done during quarter ;  Chain Volume Measures ;  Western Australia ;  Total Sectors ;  Total Non-residential ;
A83778371K,Value of work done during quarter ;  Chain Volume Measures ;  Western Australia ;  Total Sectors ;  Total Non-residential ;
A83778659W,Value of work done during quarter ;  Chain Volume Measures ;  Western Australia ;  Total Sectors ;  Total (Type of Building) ;
A83778227T,Value of work done during quarter ;  Chain Volume Measures ;  Western Australia ;  Total Sectors ;  Total (Type of Building) ;
A83779091K,Value of work done during quarter ;  Chain Volume Measures ;  Western Australia ;  Total Sectors ;  Total (Type of Building) ;
A83776187X,Value of work done during quarter ;  Chain Volume Measures ;  Tasmania ;  Private Sector ;  Total Non-residential ;
A83775755T,Value of work done during quarter ;  Chain Volume Measures ;  Tasmania ;  Private Sector ;  Total Non-residential ;
A83778779R,Value of work done during quarter ;  Chain Volume Measures ;  Tasmania ;  Total Sectors ;  Total Non-residential ;
A83778347K,Value of work done during quarter ;  Chain Volume Measures ;  Tasmania ;  Total Sectors ;  Total Non-residential ;
A83778635C,Value of work done during quarter ;  Chain Volume Measures ;  Tasmania ;  Total Sectors ;  Total (Type of Building) ;
A83778203X,Value of work done during quarter ;  Chain Volume Measures ;  Tasmania ;  Total Sectors ;  Total (Type of Building) ;
A83779067K,Value of work done during quarter ;  Chain Volume Measures ;  Tasmania ;  Total Sectors ;  Total (Type of Building) ;
A83776219F,Value of work done during quarter ;  Chain Volume Measures ;  Northern Territory ;  Private Sector ;  Total Non-residential ;
A83778811C,Value of work done during quarter ;  Chain Volume Measures ;  Northern Territory ;  Total Sectors ;  Total Non-residential ;
A83778667W,Value of work done during quarter ;  Chain Volume Measures ;  Northern Territory ;  Total Sectors ;  Total (Type of Building) ;
A83778235T,Value of work done during quarter ;  Chain Volume Measures ;  Northern Territory ;  Total Sectors ;  Total (Type of Building) ;
A83779099C,Value of work done during quarter ;  Chain Volume Measures ;  Northern Territory ;  Total Sectors ;  Total (Type of Building) ;
A83776203L,Value of work done during quarter ;  Chain Volume Measures ;  Australian Capital Territory ;  Private Sector ;  Total Non-residential ;
A83775771T,Value of work done during quarter ;  Chain Volume Measures ;  Australian Capital Territory ;  Private Sector ;  Total Non-residential ;
A83778795R,Value of work done during quarter ;  Chain Volume Measures ;  Australian Capital Territory ;  Total Sectors ;  Total Non-residential ;
A83778363K,Value of work done during quarter ;  Chain Volume Measures ;  Australian Capital Territory ;  Total Sectors ;  Total Non-residential ;
A83778651C,Value of work done during quarter ;  Chain Volume Measures ;  Australian Capital Territory ;  Total Sectors ;  Total (Type of Building) ;
A83778219T,Value of work done during quarter ;  Chain Volume Measures ;  Australian Capital Territory ;  Total Sectors ;  Total (Type of Building) ;
A83779083K,Value of work done during quarter ;  Chain Volume Measures ;  Australian Capital Territory ;  Total Sectors ;  Total (Type of Building) ;
